1963-SPA	13
1963-STA	2
1963-SW	1
1964-ACC	8
1964-AES	3
1964-AIB	4
1964-ANA	4
1964-APY	80
1964-ART	31
1964-AS	51
1964-BAC	4
1964-BCH	6
1964-BCP	4
1964-BE	3
1964-BIO	37
1964-BLW	9
1964-BMA	1
1964-BUS	16
1964-CHE	101
1964-CL	3
1964-D S	33
1964-ECO	51
1964-ED	93
1964-EGN	55
1964-ENG	157
1964-ENS	3
1964-FR	37
1964-GEO	40
1964-GER	40
1964-HIS	114
1964-INS	1
1964-IR	3
1964-ITA	1
1964-LIN	7
1964-MCH	1
1964-MKT	2
1964-MST	1
1964-MT	12
1964-MTH	104
1964-MUS	57
1964-NUR	34
1964-PEM	11
1964-PGY	3
1964-PHC	5
1964-PHI	129
1964-PHM	6
1964-PHW	32
1964-PHY	23
1964-POL	3
1964-PSC	38
1964-PSY	131
1964-PT	1
1964-RE	1
1964-RET	2
1964-RUS	11
1964-SEC	11
1964-SOC	84
1964-SPA	18
1964-SPC	1
1964-STA	3
1964-SW	5
1965-ACC	3
1965-AES	3
1965-AIB	2
1965-ANA	12
1965-APY	102
1965-ART	24
1965-AS	50
1965-BCH	3
1965-BCP	4
1965-BE	3
1965-BIO	35
1965-BLW	4
1965-BMA	1
1965-BO	4
1965-BUS	38
1965-CHE	110
1965-CHI	1
1965-CL	4
1965-D S	47
1965-D&S	1
1965-DS	2
1965-ECO	70
1965-ED	117
1965-EGN	85
1965-ENG	227
1965-ENS	4
1965-FR	52
1965-GEO	38
1965-GER	50
1965-GLY	6
1965-GR	1
1965-HIS	175
1965-HYG	3
1965-INS	2
1965-ITA	7
1965-LAW	1
1965-LIN	2
1965-MCH	2
1965-MGS	2
1965-MST	1
1965-MT	20
1965-MTH	151
1965-MUS	67
1965-NUR	34
1965-P H	3
1965-PEM	19
1965-PGY	4
1965-PHC	4
1965-PHI	144
1965-PHM	10
1965-PHW	33
1965-PHY	49
1965-PSC	37
1965-PSY	140
1965-PT	1
1965-RET	1
1965-RUS	10
1965-SCI	1
1965-SEC	10
1965-SOC	127
1965-SP	1
1965-SPA	20
1965-STA	2
1965-SW	15
1965-TRA	1
1966-ACC	2
1966-AIB	2
1966-ANA	5
1966-APY	97
1966-ART	31
1966-AS	25
1966-ASE	3
1966-BCP	3
1966-BE	2
1966-BIO	35
1966-BLW	6
1966-BMA	1
1966-BO	1
1966-BPH	1
1966-BUS	56
1966-CHE	122
1966-CHI	2
1966-CL	8
1966-D S	37
1966-ECO	67
1966-ED	129
1966-EGN	84
1966-ENG	281
1966-ENS	2
1966-FR	65
1966-GEO	35
1966-GER	55
1966-GLY	24
1966-GR	2
1966-HIS	207
1966-HYG	2
1966-ITA	12
1966-L S	5
1966-LAT	1
1966-MCH	1
1966-MT	23
1966-MTH	160
1966-MUS	76
1966-NUR	55
1966-PEM	34
1966-PGY	8
1966-PHC	2
1966-PHI	171
1966-PHM	8
1966-PHW	47
1966-PHY	46
1966-PSC	44
1966-PSY	165
1966-PT	2
1966-RE	4
1966-RET	3
1966-RUS	8
1966-SCI	2
1966-SEC	9
1966-SOC	133
1966-SPA	36
1966-SW	42
1966-TRA	2
1967-ACC	2
1967-AIB	6
1967-ANA	7
1967-APY	109
1967-ART	44
1967-AS	12
1967-ASE	3
1967-BAC	1
1967-BCH	1
1967-BE	1
1967-BIE	1
1967-BIO	45
1967-BLW	5
1967-BMA	2
1967-BO	2
1967-BUS	43
1967-CHE	132
1967-CHI	2
1967-CL	16
1967-D S	2
1967-D&S	44
1967-ECO	87
1967-ED	115
1967-EGN	98
1967-ENG	338
1967-ENS	12
1967-EXC	2
1967-FR	72
1967-GEO	53
1967-GER	46
1967-GLY	32
1967-GR	2
1967-HIS	187
1967-HYG	2
1967-INS	1
1967-ITA	14
1967-LAT	1
1967-LS	4
1967-MT	24
1967-MTH	170
1967-MUS	97
1967-NUR	27
1967-OCC	5
1967-P H	2
1967-PE	3
1967-PEM	32
1967-PGY	11
1967-PHC	1
1967-PHI	200
1967-PHM	2
1967-PHW	44
1967-PHY	38
1967-PSC	53
1967-PSY	189
1967-PTH	1
1967-RE	4
1967-RET	1
1967-RUS	11
1967-SCI	1
1967-SEC	13
1967-SOC	172
1967-SP	1
1967-SPA	46
1967-SSC	3
1967-STA	2
1967-SW	39
1967-SWA	1
1968-ACC	1
1968-AMS	3
1968-ANA	11
1968-APY	113
1968-ART	43
1968-AS	7
1968-ASE	3
1968-BCH	2
1968-BCP	2
1968-BE	8
1968-BIE	1
1968-BIO	50
1968-BLW	4
1968-BMA	3
1968-BO	5
1968-BPH	2
1968-BUS	63
1968-CHE	145
1968-CHI	2
1968-CL	26
1968-CS	8
1968-ECO	59
1968-ED	186
1968-EGN	102
1968-ENG	371
1968-ENS	11
1968-EXC	2
1968-FR	66
1968-FS	1
1968-GEO	53
1968-GER	52
1968-GLY	30
1968-GR	2
1968-HIS	226
1968-HRP	2
1968-HYG	4
1968-INS	2
1968-ITA	13
1968-LAT	3
1968-LAW	2
1968-LI	3
1968-LIN	15
1968-LJ	1
1968-LS	2
1968-MIC	15
1968-MT	39
1968-MTH	179
1968-MUS	134
1968-NUE	1
1968-NUR	33
1968-OCC	4
1968-PE	5
1968-PEM	31
1968-PGY	9
1968-PH	5
1968-PHC	2
1968-PHI	209
1968-PHM	2
1968-PHW	42
1968-PHY	55
1968-PLS	4
1968-PMY	2
1968-PSC	68
1968-PSY	230
1968-PT	1
1968-RE	6
1968-RUS	21
1968-SCI	1
1968-SEC	12
1968-SOC	201
1968-SP	36
1968-SPA	38
1968-SSC	2
1968-STA	7
1968-SW	33
1968-SWA	1
1968-TH	21
1968-TRA	1
1968-UC	6
1968-UCB	4
1969-A&L	2
1969-ACC	21
1969-ADM	3
1969-AHI	8
1969-AMS	13
1969-ANA	7
1969-APY	126
1969-ARC	6
1969-ART	54
1969-AS	10
1969-ASE	7
1969-BCH	8
1969-BCP	6
1969-BE	2
1969-BIO	56
1969-BLW	1
1969-BMA	3
1969-BO	2
1969-BPH	3
1969-BSP	5
1969-BUS	28
1969-CA	21
1969-CCW	2
1969-CED	5
1969-CF	2
1969-CHE	121
1969-CL	41
1969-COE	1
1969-COL	1
1969-CS	21
1969-CUR	2
1969-EAS	9
1969-ECO	95
1969-ED	159
1969-EDA	2
1969-EDP	8
1969-EDS	4
1969-EE	27
1969-EGN	65
