Cooke 508	15:30__1
Cooke 523	08:00__1
Cooke 523	11:45__2
Crltn 417	11:45__2
Crosby 301	08:00__25
Crosby 301	09:00__1
Crosby 301	10:00__1
Crosby 301	11:45__7
Crosby 301	15:30__1
Crosby 301	19:15__2
Crosby Arr	08:00__1
Davis 101	08:00__60
Davis 101	09:30__1
Davis 101	11:45__55
Davis 101	15:30__39
Davis 101	19:15__78
Davis 113A	08:00__1
Davis 113A	15:30__1
Davis 113A	19:15__2
Dfn 02	08:00__24
Dfn 02	09:00__1
Dfn 02	11:45__28
Dfn 02	12:00__1
Dfn 02	13:00__2
Dfn 02	15:30__7
Dfn 02	19:15__2
Dfn 04	08:00__18
Dfn 04	11:45__6
Dfn 04	15:30__1
Dfn 04	19:15__3
Dfn 05	08:00__2
Dfn 05	11:45__13
Dfn 05	15:30__1
Dfn 05	16:30__1
Dfn 06	08:00__1
Dfn 06	11:45__3
Dfn 06	16:30__1
Dfn 07	08:00__1
Dfn 07	11:45__1
Dfn 07	15:30__2
Dfn 103	08:00__16
Dfn 103	11:45__5
Dfn 103	15:30__6
Dfn 103	19:15__2
Dfn 104	15:30__2
Dfn 105	11:45__2
Dfn 105	15:30__1
Dfn 105	17:00__1
Dfn 146	08:00__50
Dfn 146	08:30__1
Dfn 146	09:00__9
Dfn 146	11:45__33
Dfn 146	12:00__1
Dfn 146	13:00__2
Dfn 146	15:30__21
Dfn 146	19:15__16
Dfn 147	08:00__78
Dfn 147	09:00__2
Dfn 147	10:00__1
Dfn 147	11:45__39
Dfn 147	13:00__2
Dfn 147	14:00__1
Dfn 147	15:30__29
Dfn 147	19:15__30
Dfn 148	08:00__42
Dfn 148	09:00__1
Dfn 148	11:45__35
Dfn 148	13:00__5
Dfn 148	15:30__23
Dfn 148	19:15__14
Dfn 202	08:00__9
Dfn 202	11:45__6
Dfn 202	15:30__4
Dfn 202	19:15__1
Dfn 203	08:00__33
Dfn 203	10:00__1
Dfn 203	11:45__19
Dfn 203	12:00__1
Dfn 203	13:00__2
Dfn 203	15:30__11
Dfn 203	19:15__10
Dfn 205	08:00__20
Dfn 205	11:45__6
Dfn 205	15:30__10
Dfn 205	17:30__1
Dfn 205	19:15__4
Dfn 206	08:00__13
Dfn 206	11:45__9
Dfn 206	15:30__2
Dfn 206	18:00__2
Dfn 206	19:15__3
Dfn 207	08:00__13
Dfn 207	11:45__9
Dfn 207	15:30__7
Dfn 207	19:15__8
Dfn 208	08:00__8
Dfn 208	11:45__5
Dfn 208	15:30__4
Dfn 208	17:30__1
Dfn 208	19:15__1
Dfn Arr	08:00__1
Dfn_A 30	08:00__9
Dfn_A 30	11:45__4
Dfn_A 30	15:30__1
Dislng	08:00__2
Farber 124	08:00__1
Farber 124	11:45__3
Farber 124	15:30__1
Farber 144	11:45__2
Farber 150	08:00__2
Farber 150	16:00__1
