Bell 213	117_50_50
Bell 214	35_35_35
Bell 217	51_51_51
Bell 218	22_10_10
Bell 219	7_17_17
Bell 220	55_26_26
Bell 221	45_27_27
Bell 223	1_1_1
Bell 224	1897_20262_921
Bell 226	10_12_6
Bell 229	9_2_2
Bell 233	3_2_1
Bell 235	36_45_15
Bell 236	16_11_11
Bell 237	79_20_20
Bell 238	30_22_22
Bell 240	215_286_143
Bell 241	39_58_58
Bell 242	669_1616_101
Bell 243	55_49_49
Bell 244	94_64_64
Bell 245	4_2_2
Bell 246	23_21_21
Bell 248	4_2_2
Bell 250	146_210_30
Bell 312	2_2_2
Bell 318	6_18_18
Bell 320	4_4_2
Bell 322	20_11_11
Bell 324	9_4_4
Bell 325	11354_15918_758
Bell 326	52_120_40
Bell 327	650_447_149
Bell 330	28_20_20
Bell 337	28015_51376_1352
Bell 338	298_68_17
Bell 340	7766_15596_557
Bell 340C	910_3420_95
Bell 341	235_312_26
Bell 342	437_191_191
Bell 405	1_1_1
Bell 421	891_1210_121
Bell 427	356_378_21
Bell 428	410_1600_40
Bell 429	18_7_7
Bell 432	10_60_20
Bell 435	2240_10200_255
Bell 437	1_16_1
Bell 438	639_942_314
Bell 438A	5_10_1
Bioed 125	76_24_2
Bioed 23	71_1_1
Bioed 230	3412_4008_334
Bioed 235	9326_3372_281
Bioed 240	2684_3132_261
Bioed 250	1062_3690_123
Bioed 258	501_1500_50
Bioed 259	4415_2784_116
Bioed 262	710_1260_42
Bioed 264	2400_1056_44
Bioed 266	610_2520_105
Bioed 333	8022_7128_297
Bioed 350	90_144_9
Bioed 353	1053_936_39
Bioed 356	50_520_26
Bioed 358	1955_792_33
Bioed 40	3_5_1
Bioed 52	13_4_2
Bioed 81	548_75_75
Bioed 84	877_162_81
Biores 101	228_260_13
Biores 102	0_2_2
Biores 106	1_50_10
Biores 108	3_60_12
Biores 109	0_17_17
Biores 111	9_19_19
Biores 112	5_91_13
Biores 113	2_5_5
Biores 117	27_25_25
Biores 122	8_80_16
Biores 140	0_7_1
Biores 143	24_26_26
Biores 145	0_2_2
Biores 146	7_19_19
Biores 147	23_14_14
Biores 201	16_20_1
Biores 210	7_21_21
Biores 213	16_18_18
Biores 217	12_13_13
Biores 219	7_8_8
Biores 230	14_64_16
Biores 249	39_41_41
Biores 250	14_7_1
Biores 251	19_8_8
Biores 253	43_26_26
Biores 351	5_5_5
Biores 356	24_60_10
Biores 362	1_1_1
Biores 401	122_360_18
Biores 405	12_2_2
Biores 416	41_8_8
Biores 420	3_36_12
Biores 451	2_2_2
Biores 460	11_10_2
Biores 461	72_210_30
Biores 501	185_440_22
Biores 506	17_120_24
Biores 513	3_5_5
Biores 517	3_1_1
Biores 522	12_57_19
Biores 528	15_36_12
Biores 536	2_3_1
Biores 540	34_46_23
Biores 546	4_4_2
Biores 547	9_5_5
Biores 550	3_8_2
Biores 560	9_4_2
Biores 561	6_6_3
Biores 606	23_44_22
Biores 610	99_56_28
Biores 613	11_18_18
Biores 619	3_3_3
Biores 620	17_84_7
Biores 622	46_26_26
Biores 630	45_57_19
Biores 636	60_180_30
Biores 644	60_152_38
